4/4 Bb
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/4
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/4
A2 1/8
B2 1/8
A2 1/8
G2 1/16
A2 1/16
B2 1/8
A2 1/8
G2 1/4
R0 1/4
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/4
A1 1/8
B1 1/8
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/4
A1 1/8
B1 1/8
A1 1/8
G1 1/16
A1 1/16
B1 1/8
A1 1/8
G1 1/4
R0 1/4
A2 1/8
A2 1/8
A2 1/8
C2 1/8
D1 1/4
D1 1/8
D1 1/8
G2 1/8
G2 1/8
G2 1/8
B2 1/8
C1 1/4
C1 1/8
F1 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
G2 1/16
A2 1/16
B2 1/8
G2 1/8
A2 1/4
R0 1/4
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
G1 1/16
A1 1/16
B1 1/8
G1 1/8
F0 1/4
R0 1/4
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/4
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/4
A2 1/8
B2 1/8
A2 1/8
G2 1/16
A2 1/16
B2 1/8
A2 1/8
G2 1/4
R0 1/4
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/4
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/4
A2 1/8
B2 1/8
A2 1/8
G2 1/16
A2 1/16
B2 1/8
A2 1/8
G2 1/4
R0 1/4
F2 1/8
C2 1/8
C2 1/8
C2 1/8
D2 1/4
C2 1/8
C2 1/8
F2 1/8
C2 1/8
C2 1/8
C2 1/8
D2 1/4
C2 1/8
C2 1/8
D2 1/4
C2 1/8
C2 1/8
F2 1/8
E2 1/16
D2 1/16
C2 1/8
B2 1/8
A2 1/4
G2 1/4
E1 1/4
R0 1/4
F1 1/8
C1 1/8
C1 1/8
C1 1/8
D1 1/4
C1 1/8
C1 1/8
F1 1/8
C1 1/8
C1 1/8
C1 1/8
D1 1/4
C1 1/8
C1 1/8
D1 1/4
C1 1/8
C1 1/8
F1 1/8
E1 1/16
D1 1/16
C1 1/8
B1 1/8
A1 1/4
G1 1/4
F0 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
A2 1/8
A2 1/8
B2 1/8
A2 1/8
G2 1/16
A2 1/16
B2 1/8
G2 1/8
A2 1/4
R0 1/4
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
A1 1/8
A1 1/8
B1 1/8
A1 1/8
G1 1/16
A1 1/16
B1 1/8
G1 1/8
A1 1/4
R0 1/4
